TIMESTAMP_END,LW_IN_T1_47_1,PA_T1_47_1,PPFD_IN_T1_47_1,RH_T1_47_1,SW_IN_T1_47_1,TA_T1_47_1
2024-03-16 16:00:00,321.4529966666667,93609.08300000001,454.5576790599099,91.60725833333332,229.51690258603603,9.974910333333332
2024-03-16 16:30:00,331.34838666666667,93619.139,315.30451905990986,90.30957366666667,159.6494482527027,9.788155333333332
2024-03-16 17:00:00,333.38115,93636.84199999999,116.26667672657658,91.812633,60.41766558603604,9.225872066666666
2024-03-16 17:30:00,335.29841666666664,93656.67233333334,147.31470039324324,90.92906866666667,80.38681425270269,8.854760966666667
2024-03-16 18:00:00,292.80788333333334,93671.11,123.77681872657658,91.20949133333333,64.40830821936937,9.111777499999999
2024-03-16 18:30:00,314.0596233333333,93710.145,18.77766835617117,91.86274666666667,7.108308416531531,9.012521966666666
2024-03-16 19:00:00,338.43862,93720.30600000001,0.0,89.30928966666667,0.0,8.842016466666667
2024-03-16 19:30:00,305.03673333333336,93746.19366666667,0.0,90.38460766666667,0.0,8.966799833333333
2024-03-16 20:00:00,280.60050666666666,93757.46833333332,0.0,92.450241,0.0,8.8276498
2024-03-16 20:30:00,272.48924666666665,93765.56766666665,0.0,93.34122900000001,0.0,8.516166433333334
2024-03-16 21:00:00,274.21337,93782.86333333333,0.0,94.47900133333333,0.0,8.205266633333332
2024-03-16 21:30:00,275.6052633333333,93787.20466666667,0.0,93.77903366666666,0.0,8.3771443
2024-03-16 22:00:00,277.62306,93790.918,0.0,93.57342333333332,0.0,8.2711332
2024-03-16 22:30:00,275.9885433333333,93818.71233333334,0.0,92.921279,0.0,8.219388933333333
2024-03-16 23:00:00,275.17791,93825.97966666667,0.0,94.16581366666666,0.0,8.006627566666667
2024-03-16 23:30:00,296.46619333333336,93826.22033333333,0.0,93.68359566666666,0.0,7.977044266666667
2024-03-17 00:00:00,328.83926333333335,93818.65033333334,0.0,91.68380133333334,0.0,8.247055533333333
2024-03-17 00:30:00,327.34794666666664,93809.56300000001,0.0,91.00655633333332,0.0,8.2677943
2024-03-17 01:00:00,314.85973,93801.192,0.0,90.44658333333334,0.0,8.254822133333333
2024-03-17 01:30:00,337.14795,93805.92033333333,0.0,90.14757433333334,0.0,8.332027766666666
2024-03-17 02:00:00,326.0676266666667,93780.72366666667,0.0,89.556828,0.0,8.408694266666666
2024-03-17 02:30:00,317.82517666666666,93746.85566666667,0.0,89.995568,0.0,8.319216666666668
2024-03-17 03:00:00,335.41997,93719.389,0.0,91.99691299999999,0.0,7.922455366666667
2024-03-17 03:30:00,335.1039,93692.09266666668,0.0,92.29116366666668,0.0,7.930983033333334
2024-03-17 04:00:00,299.80352000000005,93669.95933333333,0.0,92.23696766666667,0.0,7.886610666666667
2024-03-17 04:30:00,286.1776633333333,93642.45766666667,0.0,93.36536733333334,0.0,7.593044333333333
2024-03-17 05:00:00,297.6368033333334,93640.42599999999,0.0,94.56391833333333,0.0,7.3890499
2024-03-17 05:30:00,285.81343666666663,93635.53133333333,0.0,94.34701799999999,0.0,7.306494066666667
2024-03-17 06:00:00,272.5319666666667,93634.50233333332,0.0,94.61484666666666,0.0,7.259522166666667
2024-03-17 06:30:00,276.8697633333333,93633.95733333334,0.0,95.487422,0.0,7.1004496999999995
2024-03-17 07:00:00,283.48656,93633.92633333334,23.78906433740389,93.86289566666666,12.50293003713252,7.421755266666667
